Unnamed: 0,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
18,A Bagai (CAN),2003-2013,62,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
2,A Balbirnie (IRE),2010-2019,64,3.0,60.0,68.0,2.0,1/26,34.0,6.8,30.0,0.0,0.0,0.0
0,A Bhandari (INDIA),2000-2004,2,2.0,106.0,106.0,5.0,3/31,21.2,6.0,21.2,0.0,0.0,0.0
34,A Codrington (CAN),2003-2007,9,8.0,300.0,265.0,10.0,5/27,26.5,5.3,30.0,0.0,1.0,0.0
12,A Dananjaya (SL),2012-2019,36,34.0,1773.0,1506.0,51.0,6/29,29.52,5.09,34.7,2.0,2.0,0.0
9,A Flintoff (ENG/ICC),1999-2009,141,119.0,5624.0,4121.0,169.0,5/19,24.38,4.39,33.2,6.0,2.0,0.0
15,A Flower (ZIM),1992-2003,213,2.0,30.0,23.0,0.0,-,0.0,4.6,0.0,0.0,0.0,0.0
44,A Jadeja (INDIA),1992-2000,196,52.0,1248.0,1094.0,20.0,3/3,54.7,5.25,62.4,0.0,0.0,0.0
9,A Kumble (Asia/INDIA),1990-2007,271,265.0,14496.0,10412.0,337.0,6/12,30.89,4.3,43.0,8.0,2.0,0.0
20,A Kuruvilla (INDIA),1997-1997,25,25.0,1131.0,890.0,25.0,4/43,35.6,4.72,45.2,1.0,0.0,0.0
39,A Maregwede (ZIM),2003-2005,11,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
18,A Martin (WI),2011-2011,9,9.0,444.0,296.0,11.0,4/36,26.9,4.0,40.3,1.0,0.0,0.0
1,A McGrath (ENG),2003-2004,14,7.0,228.0,175.0,4.0,1/13,43.75,4.6,57.0,0.0,0.0,0.0
3,A Mishra (INDIA),2003-2016,36,34.0,1917.0,1511.0,64.0,6/48,23.6,4.72,29.9,2.0,2.0,0.0
48,A Mithun (INDIA),2010-2011,5,5.0,180.0,203.0,3.0,2/32,67.66,6.76,60.0,0.0,0.0,0.0
20,A Nao (PNG),2017-2019,13,13.0,613.0,495.0,14.0,3/40,35.35,4.84,43.7,0.0,0.0,0.0
17,A Ndlovu (ZIM),2019-2019,2,2.0,102.0,80.0,1.0,1/29,80.0,4.7,102.0,0.0,0.0,0.0
17,A Nehra (Asia/INDIA),2001-2011,120,120.0,5751.0,4981.0,157.0,6/23,31.72,5.19,36.6,5.0,2.0,0.0
19,A Neill (SCOT),2019-2019,1,1.0,55.0,24.0,1.0,1/24,24.0,2.61,55.0,0.0,0.0,0.0
34,A Nel (SA),2001-2008,79,76.0,3801.0,2935.0,106.0,5/45,27.68,4.63,35.8,3.0,1.0,0.0
25,A Nortje (SA),2019-2019,4,4.0,189.0,150.0,8.0,3/57,18.75,4.76,23.6,0.0,0.0,0.0
7,A Patel (CAN),2003-2003,2,2.0,60.0,73.0,3.0,3/41,24.33,7.3,20.0,0.0,0.0,0.0
47,A Ranatunga (SL),1982-1999,269,135.0,4710.0,3757.0,79.0,4/14,47.55,4.78,59.6,1.0,0.0,0.0
35,A Ratra (INDIA),2002-2002,12,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
8,A Shahzad (ENG),2010-2011,11,11.0,588.0,490.0,17.0,3/41,28.82,5.0,34.5,0.0,0.0,0.0
14,A Shamshudeen (CAN),2007-2007,1,1.0,18.0,24.0,0.0,-,0.0,8.0,0.0,0.0,0.0,0.0
42,A Symonds (AUS),1998-2009,198,158.0,5935.0,4955.0,133.0,5/18,37.25,5.0,44.6,2.0,1.0,0.0
8,A Turner (AUS),1975-1975,6,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
11,A Vala (PNG),2014-2019,27,26.0,1038.0,648.0,27.0,3/20,24.0,3.74,38.4,0.0,0.0,0.0
2,A Zampa (AUS),2016-2019,48,48.0,2480.0,2363.0,65.0,4/43,36.35,5.71,38.1,1.0,0.0,0.0
26,A van der Merwe (IRE),2010-2011,9,9.0,432.0,323.0,11.0,5/49,29.36,4.48,39.2,0.0,1.0,0.0
18,AA Donald (SA),1991-2003,164,162.0,8561.0,5926.0,272.0,6/23,21.78,4.15,31.4,11.0,2.0,0.0
16,AA Mallett (AUS),1971-1975,9,9.0,502.0,341.0,11.0,3/34,31.0,4.07,45.6,0.0,0.0,0.0
35,AA Mulla (CAN),2006-2009,24,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
