Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
16,A Ahmadhel (),2019-2019,3,2.0,0.0,16.0,15.0,8.0,16.0,100.0,0.0,0.0,0.0,2,0,0.0
10,A Anemogiannis (),2019-2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0
31,A Ashokan (CZK-R),2019-2019,2,2.0,0.0,41.0,34.0,20.5,29.0,141.37,0.0,0.0,0.0,2,3,0.0
46,A Aspiotis (),2019-2019,3,1.0,1.0,3.0,0.0,0.0,4.0,75.0,0.0,0.0,0.0,0,0,0.0
40,A Bagai (CAN),2008-2013,9,9.0,2.0,284.0,0.0,40.57,249.0,114.05,0.0,2.0,0.0,27,0,0.0
28,A Balbirnie (IRE),2015-2019,37,33.0,2.0,790.0,83.0,25.48,593.0,133.22,0.0,4.0,3.0,94,12,0.0
11,A Bhagwat (HKG),2019-2019,4,4.0,0.0,5.0,3.0,1.25,16.0,31.25,0.0,0.0,1.0,0,0,0.0
36,A Bhattarai (NEPAL),2014-2014,1,1.0,0.0,2.0,2.0,2.0,3.0,66.66,0.0,0.0,0.0,0,0,0.0
12,A Bohara (NEPAL),2019-2019,17,5.0,2.0,5.0,0.0,1.66,12.0,41.66,0.0,0.0,2.0,0,0,0.0
29,A Bulow (DEN),2019-2019,2,1.0,0.0,11.0,11.0,11.0,13.0,84.61,0.0,0.0,0.0,0,1,0.0
40,A Carthew (Chile),2019-2019,4,1.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0,0,0.0
9,A Dananjaya (SL),2012-2019,22,12.0,4.0,49.0,0.0,6.12,57.0,85.96,0.0,0.0,2.0,6,0,0.0
31,A Djorovic (Serb),2019-2019,2,2.0,0.0,11.0,9.0,5.5,26.0,42.3,0.0,0.0,0.0,1,0,0.0
40,A Ferguson (Arg),2019-2019,5,3.0,1.0,88.0,51.0,44.0,100.0,88.0,0.0,1.0,0.0,5,1,0.0
39,A Flintoff (ENG),2005-2007,7,7.0,1.0,76.0,31.0,12.66,60.0,126.66,0.0,0.0,1.0,7,2,0.0
8,A Gavde (Caym),2019-2019,1,1.0,0.0,1.0,1.0,1.0,6.0,16.66,0.0,0.0,0.0,0,0,0.0
0,A Husain (Arg),2019-2019,5,1.0,1.0,2.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0,0,0.0
17,A Karn (NEPAL),2015-2015,2,1.0,0.0,4.0,4.0,4.0,7.0,57.14,0.0,0.0,0.0,0,0,0.0
4,A Khan (ENG),2009-2009,1,1.0,0.0,2.0,2.0,2.0,4.0,50.0,0.0,0.0,0.0,0,0,0.0
21,A Krishna (SGP),2019-2019,4,2.0,1.0,5.0,4.0,5.0,3.0,166.66,0.0,0.0,0.0,1,0,0.0
18,A Lagos (),2019-2019,1,1.0,1.0,1.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0,0,0.0
4,A Lark (Aut),2019-2019,5,4.0,0.0,110.0,43.0,27.5,121.0,90.9,0.0,0.0,1.0,15,0,0.0
6,A Makesh (KUW),2019-2019,4,2.0,1.0,57.0,57.0,57.0,41.0,139.02,0.0,1.0,0.0,3,4,0.0
43,A Manousis (),2019-2019,3,3.0,1.0,52.0,23.0,26.0,49.0,106.12,0.0,0.0,0.0,5,1,0.0
41,A Mansale (VAN),2019-2019,14,14.0,0.0,159.0,38.0,11.35,151.0,105.29,0.0,0.0,4.0,14,5,0.0
26,A Martin (WI),2011-2011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0
5,A Mehmood (HKG),2016-2016,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0
8,A Mishra (INDIA),2010-2017,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
27,A Morris (Caym),2019-2019,6,4.0,2.0,5.0,0.0,2.5,17.0,29.41,0.0,0.0,1.0,0,0,0.0
31,A Nanda (LUX),2019-2019,3,1.0,0.0,5.0,5.0,5.0,5.0,100.0,0.0,0.0,0.0,1,0,0.0
13,A Nao (PNG),2017-2017,2,2.0,2.0,7.0,0.0,0.0,4.0,175.0,0.0,0.0,0.0,1,0,0.0
29,A Nathwani (Aut),2019-2019,5,1.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0,0,0.0
