Unnamed: 0,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
15,A Ahmadhel (),2019-2019,3,3.0,10.0,0,75.0,3.0,2/16,25.0,7.5,20.0,0.0,0.0,0.0
38,A Anemogiannis (),2019-2019,1,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
12,A Ashokan (CZK-R),2019-2019,2,1.0,2.0,0,16.0,0.0,-,0.0,8.0,0.0,0.0,0.0,0.0
20,A Aspiotis (),2019-2019,3,3.0,11.0,0,71.0,4.0,2/24,17.75,6.45,16.5,0.0,0.0,0.0
15,A Bagai (CAN),2008-2013,9,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
20,A Balbirnie (IRE),2015-2019,37,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
37,A Bhagwat (HKG),2019-2019,4,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
36,A Bhattarai (NEPAL),2014-2014,1,1.0,3.0,0,12.0,1.0,1/12,12.0,4.0,18.0,0.0,0.0,0.0
10,A Bohara (NEPAL),2019-2019,17,16.0,54.0,0,350.0,16.0,4/35,21.87,6.48,20.2,1.0,0.0,0.0
12,A Bulow (DEN),2019-2019,2,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
44,A Carthew (Chile),2019-2019,4,1.0,2.0,0,19.0,1.0,1/19,19.0,9.5,12.0,0.0,0.0,0.0
1,A Dananjaya (SL),2012-2019,22,22.0,79.4,1,620.0,22.0,3/36,28.18,7.78,21.7,0.0,0.0,0.0
38,A Djorovic (Serb),2019-2019,2,2.0,6.0,1,32.0,0.0,-,0.0,5.33,0.0,0.0,0.0,0.0
39,A Ferguson (Arg),2019-2019,5,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
8,A Flintoff (ENG),2005-2007,7,7.0,25.0,0,161.0,5.0,2/23,32.2,6.44,30.0,0.0,0.0,0.0
12,A Gavde (Caym),2019-2019,1,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
22,A Husain (Arg),2019-2019,5,4.0,10.0,0,51.0,1.0,1/6,51.0,5.1,60.0,0.0,0.0,0.0
32,A Karn (NEPAL),2015-2015,2,2.0,8.0,0,49.0,1.0,1/31,49.0,6.12,48.0,0.0,0.0,0.0
40,A Khan (ENG),2009-2009,1,1.0,4.0,0,34.0,2.0,2/34,17.0,8.5,12.0,0.0,0.0,0.0
5,A Krishna (SGP),2019-2019,4,4.0,12.0,0,121.0,4.0,3/27,30.25,10.08,18.0,0.0,0.0,0.0
36,A Lagos (),2019-2019,1,1.0,2.0,0,13.0,0.0,-,0.0,6.5,0.0,0.0,0.0,0.0
7,A Lark (Aut),2019-2019,5,4.0,10.5,0,55.0,4.0,3/20,13.75,5.07,16.2,0.0,0.0,0.0
45,A Makesh (KUW),2019-2019,4,4.0,9.0,1,79.0,1.0,1/19,79.0,8.77,54.0,0.0,0.0,0.0
41,A Manousis (),2019-2019,3,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
12,A Mansale (VAN),2019-2019,14,10.0,26.0,0,176.0,13.0,3/13,13.53,6.76,12.0,0.0,0.0,0.0
49,A Martin (WI),2011-2011,1,1.0,3.0,0,20.0,1.0,1/20,20.0,6.66,18.0,0.0,0.0,0.0
0,A Mehmood (HKG),2016-2016,2,1.0,1.0,0,12.0,0.0,-,0.0,12.0,0.0,0.0,0.0,0.0
20,A Mishra (INDIA),2010-2017,10,10.0,38.0,1,240.0,16.0,3/24,15.0,6.31,14.2,0.0,0.0,0.0
11,A Morris (Caym),2019-2019,6,6.0,22.0,1,114.0,6.0,2/17,19.0,5.18,22.0,0.0,0.0,0.0
15,A Nanda (LUX),2019-2019,3,3.0,7.2,0,47.0,7.0,5/6,6.71,6.4,6.2,0.0,1.0,0.0
28,A Nao (PNG),2017-2017,2,2.0,5.0,0,49.0,0.0,-,0.0,9.8,0.0,0.0,0.0,0.0
37,A Nathwani (Aut),2019-2019,5,4.0,10.0,0,79.0,3.0,1/9,26.33,7.9,20.0,0.0,0.0,0.0
30,A Natubhai Ahir (PNM),2019-2019,3,3.0,6.0,0,49.0,0.0,-,0.0,8.16,0.0,0.0,0.0,0.0
21,A Ndlovu (ZIM),2019-2019,3,3.0,11.0,0,90.0,1.0,1/35,90.0,8.18,66.0,0.0,0.0,0.0
29,A Nehra (INDIA),2009-2017,27,27.0,98.0,2,758.0,34.0,3/19,22.29,7.73,17.2,0.0,0.0,0.0
26,A Neill (SCOT),2019-2019,5,5.0,20.0,0,154.0,9.0,3/21,17.11,7.7,13.3,0.0,0.0,0.0
16,A Nel (SA),2005-2007,2,2.0,8.0,0,42.0,2.0,2/19,21.0,5.25,24.0,0.0,0.0,0.0
35,A Nortje (SA),2019-2019,1,1.0,3.0,0,27.0,0.0,-,0.0,9.0,0.0,0.0,0.0,0.0
39,A Orfila (GIBR),2019-2019,1,1.0,1.0,0,7.0,0.0,-,0.0,7.0,0.0,0.0,0.0,0.0
39,A Otwani (UGA),2019-2019,4,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
