Unnamed: 0,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Unnamed: 11
15,A Ahmadhel (),2019-2019,3,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0
36,A Anemogiannis (),2019-2019,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6,A Ashokan (CZK-R),2019-2019,2,2.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.5,0.0
5,A Aspiotis (),2019-2019,3,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27,A Bagai (CAN),2008-2013,9,9.0,11.0,5.0,6.0,5,0,2 (1ct 1st),1.222,0.0
34,A Balbirnie (IRE),2015-2019,37,35.0,14.0,14.0,0.0,0,14,2 (2ct 0st),0.4,0.0
18,A Bhagwat (HKG),2019-2019,4,4.0,2.0,2.0,0.0,2,0,2 (2ct 0st),0.5,0.0
34,A Bhattarai (NEPAL),2014-2014,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21,A Bohara (NEPAL),2019-2019,17,17.0,3.0,3.0,0.0,0,3,1 (1ct 0st),0.17600000000000002,0.0
2,A Bulow (DEN),2019-2019,2,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7,A Carthew (Chile),2019-2019,4,4.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4,A Dananjaya (SL),2012-2019,22,22.0,5.0,5.0,0.0,0,5,1 (1ct 0st),0.22699999999999998,0.0
47,A Djorovic (Serb),2019-2019,2,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0
45,A Ferguson (Arg),2019-2019,5,5.0,2.0,2.0,0.0,0,2,1 (1ct 0st),0.4,0.0
12,A Flintoff (ENG),2005-2007,7,7.0,5.0,5.0,0.0,0,5,2 (2ct 0st),0.7140000000000001,0.0
34,A Gavde (Caym),2019-2019,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11,A Husain (Arg),2019-2019,5,5.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.2,0.0
8,A Karn (NEPAL),2015-2015,2,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16,A Khan (ENG),2009-2009,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0
27,A Krishna (SGP),2019-2019,4,4.0,0.0,0.0,0.0,0,0,0,0.0,0.0
0,A Lagos (),2019-2019,1,1.0,1.0,1.0,0.0,0,1,1 (1ct 0st),1.0,0.0
38,A Lark (Aut),2019-2019,5,5.0,2.0,2.0,0.0,0,2,1 (1ct 0st),0.4,0.0
22,A Makesh (KUW),2019-2019,4,4.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.25,0.0
45,A Manousis (),2019-2019,3,3.0,2.0,2.0,0.0,0,2,1 (1ct 0st),0.6659999999999999,0.0
34,A Mansale (VAN),2019-2019,14,14.0,5.0,5.0,0.0,0,5,2 (2ct 0st),0.35700000000000004,0.0
47,A Martin (WI),2011-2011,1,1.0,2.0,2.0,0.0,0,2,2 (2ct 0st),2.0,0.0
21,A Mehmood (HKG),2016-2016,2,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0
43,A Mishra (INDIA),2010-2017,10,10.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.1,0.0
44,A Morris (Caym),2019-2019,6,6.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15,A Nanda (LUX),2019-2019,3,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17,A Nao (PNG),2017-2017,2,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0
33,A Nathwani (Aut),2019-2019,5,5.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.2,0.0
34,A Natubhai Ahir (PNM),2019-2019,3,3.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.33299999999999996,0.0
42,A Ndlovu (ZIM),2019-2019,3,3.0,3.0,3.0,0.0,0,3,2 (2ct 0st),1.0,0.0
16,A Nehra (INDIA),2009-2017,27,27.0,4.0,4.0,0.0,0,4,1 (1ct 0st),0.14800000000000002,0.0
17,A Neill (SCOT),2019-2019,5,5.0,4.0,4.0,0.0,0,4,2 (2ct 0st),0.8,0.0
38,A Nel (SA),2005-2007,2,2.0,1.0,1.0,0.0,0,1,1 (1ct 0st),0.5,0.0
39,A Nortje (SA),2019-2019,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0
